addr,name,unit,confidence,name_source
0x00115188,hhfile_00115188,../hahig/hhfile.c,reached,generated
0x001151E0,hhfile_001151E0,../hahig/hhfile.c,reached,generated
0x00115370,hhfile_00115370,../hahig/hhfile.c,reached,generated
0x00115448,hhFileSearchFILEMEM,../hahig/hhfile.c,reached,recovered
0x00115518,hhfile_00115518,../hahig/hhfile.c,reached,generated
0x00115530,hhFileMemUnlinkChain,../hahig/hhfile.c,reached,recovered
0x00115620,hhFileMemCreate,../hahig/hhfile.c,reached,recovered
0x001156B0,hhfile_001156B0,../hahig/hhfile.c,reached,generated
0x001156D8,hhFileMemLoadMallocByID,../hahig/hhfile.c,reached,recovered
0x00115778,hhFileMemLoadMallocByName,../hahig/hhfile.c,reached,recovered
0x00115818,hhfile_00115818,../hahig/hhfile.c,reached,generated
0x00115848,hhfile_00115848,../hahig/hhfile.c,reached,generated
0x00115858,hhfile_00115858,../hahig/hhfile.c,reached,generated
0x00115860,hhfile_00115860,../hahig/hhfile.c,unreferenced,generated
0x00115940,hhFileMeMOpenByName,../hahig/hhfile.c,unreferenced,recovered
0x00115A18,hhfile_00115A18,../hahig/hhfile.c,reached,generated
0x00115A78,hhfile_00115A78,../hahig/hhfile.c,unreferenced,generated
